time_s,envelope
2.645,0.10353637
2.65,-0.005652666
2.655,0.12109496
2.66,0.08883385
2.665,0.06424266
2.67,0.067442596
2.675,0.07567415
2.68,-0.020975351
2.685,-0.02625183
2.69,0.07756567
2.695,0.04749748
2.7,-0.007847786
2.705,-0.043521695
2.71,0.041768014
2.715,0.043210924
2.72,0.023968518
2.725,-0.009399749
2.73,0.06039703
2.735,0.09611754
2.74,0.09099391
2.745,0.02915743
2.75,-0.015745342
2.755,0.07198618
2.76,0.098876625
2.765,0.105571985
2.77,0.010308236
2.775,0.05715421
2.78,0.09202376
2.785,0.10688521
2.79,0.0731785
2.795,0.04183416
2.8,0.045259163
2.805,0.051509902
2.81,0.111401334
2.815,0.1274245
2.82,0.013139471
2.825,0.047257274
2.83,0.03395152
2.835,0.09357415
2.84,0.108166024
2.845,0.055171996
2.85,-0.05371613
2.855,0.060880706
2.86,0.14522366
2.865,0.033681914
2.87,0.008796334
2.875,-0.0017483234
2.88,0.08161995
2.885,0.06287955
2.89,0.022297487
2.895,-0.0048893914
2.9,0.000979498
2.905,0.06378931
2.91,0.013062805
2.915,-0.0013932288
2.92,0.04043582
2.925,0.081809565
2.93,-0.003542617
2.935,0.035032004
2.94,0.094629645
2.945,0.11986838
2.95,0.0659682
2.955,0.107775286
2.96,0.0555477
2.965,0.003573075
2.97,-0.023604564
2.975,-0.012368731
2.98,0.022542998
2.985,0.074291244
2.99,0.07148896
2.995,0.15466993
3.0,0.054602385
3.005,0.11528222
3.01,0.06070584
3.015,-0.012456626
3.02,0.0034451336
3.025,0.15120192
3.03,0.06893194
3.035,0.10036431
3.04,0.15799241
3.045,0.05625099
3.05,0.09419879
3.055,0.088484734
3.06,0.18080105
3.065,-0.0045949817
3.07,0.05702281
3.075,0.051481828
3.08,0.16194843
3.085,0.115514025
3.09,0.0459577
3.095,-0.069177836
3.1,0.060989752
3.105,0.066846654
3.11,0.0803493
3.115,-0.02251526
3.12,-0.00025349855
3.125,-0.000707224
3.13,-0.004742846
3.135,0.0415193
3.14,0.067637235
3.145,0.08514097
3.15,-0.020613067
3.155,0.039938033
3.16,-0.058371678
3.165,0.13416572
3.17,0.11788076
3.175,0.09337455
3.18,8.165836e-06
3.185,0.030938357
3.19,0.058672354
3.195,0.17075355
3.2,0.13427491
3.205,0.06318781
3.21,0.11497928
3.215,0.101478994
3.22,0.21740396
3.225,0.13431112
3.23,-0.0047987998
3.235,0.03260979
3.24,0.048297063
3.245,0.034906015
3.25,0.0053593516
3.255,-0.009844542
3.26,-0.015665248
3.265,0.05113353
3.27,0.07209234
3.275,0.0088033825
3.28,0.0214144
3.285,0.021657124
3.29,0.014055654
3.295,0.076576814
3.3,-0.009210087
3.305,-0.03102734
3.31,0.09761372
3.315,0.08151525
3.32,0.1388296
3.325,0.07555355
3.33,0.027104199
3.335,-0.008996859
3.34,0.025600374
3.345,0.029737532
3.35,0.069886565
3.355,0.08018997
3.36,0.06489073
3.365,0.19337825
3.37,0.0440879
3.375,-0.025318734
3.38,0.087663636
3.385,0.073082685
3.39,0.15919219
3.395,0.19643305
3.4,0.034692228
3.405,0.07406239
3.41,0.29837614
3.415,0.12543602
3.42,0.030465543
3.425,0.00543119
3.43,0.13367833
3.435,0.17268951
3.44,0.106025815
3.445,0.035879463
3.45,-0.0074962974
3.455,0.07685694
3.46,0.077471465
3.465,0.022105843
3.47,0.032210752
3.475,-0.025876574
3.48,0.076060265
3.485,0.06377779
3.49,0.05171661
3.495,0.004183069
3.5,0.03228177
3.505,0.07619804
3.51,0.0856574
3.515,0.036945716
3.52,0.018243074
3.525,0.12159847
3.53,0.01357913
3.535,0.029234469
3.54,0.010893762
3.545,0.089098364
3.55,0.12570386
3.555,0.07778297
3.56,-0.0549033
3.565,0.06719829
3.57,0.02960518
3.575,0.17475237
3.58,0.057019353
3.585,0.101484865
3.59,0.059796706
3.595,0.08746226
3.6,0.15091352
3.605,0.007997423
3.61,-0.011114016
3.615,0.015268207
3.62,-0.033595793
3.625,0.046743467
3.63,0.0027854145
3.635,-0.005851157
3.64,-0.013408683
3.645,0.091348454
3.65,-0.0059577003
3.655,0.0435531
3.66,0.08344941
3.665,0.10685314
3.67,-0.010190427
3.675,0.08808844
3.68,0.06689088
3.685,-0.011503041
3.69,-0.04061593
3.695,0.08495876
3.7,0.032791197
